                      Address  Address_Encoded
4520            شهرک پاسداران              200
4537                   شیرازی              215
4610                   شاندیز              163
4643                     مقدم              261
4729                 شیخ هادی              214
4755           شهرک ژاندارمری              202
4818               ائمه اطهار               10
5088                   حافظیه               87
5197               شهرک آزادی              177
5280                 قیام‌دشت              246
5292                قاسم‌آباد              239
5377                    سنگلج              153
5388              شهید دستغیب              209
5620              شهرک محلاتی              194
5873                  وصفنارد              295
6007                     شیان              213
6043                 بهمن یار               59
6044            سرآسیاب دولاب              142
6120                    گاندی              324
6355             امام سجاد(ع)               30
6421                باغ فردوس               49
6634                    سرتخت              144
6744            دانشگاه تهران              107
6988                   شمشیری              170
7013                   امانیه               34
7087                      شوش              211
7094                شهرک گلها              205
7109                      فدک              233
7112                     جهاد               81
7174                   بهداشت               58
7287                  زیبادشت              137
7664                   فرحزاد              234
7666                   فردوسی              235
8167                شهرک صدرا              188
8211                 ایرانشهر               44
8475                شریف‌آباد              168
8480                    سیروس              158
8589             جوانمرد قصاب               84
8614                شهید اسدی              207
8665          سرآسیاب مهرآباد              143
8726               شهرک شریفی              186
8798              صاحب الزمان              217
9359              شهرک کوهسار              203
9404                 خاک سفید              101
10428                    شیوا              216
10750            ابراهیم‌آباد               12
10871       صفائیه (چشمه علی)              221
13567             کوی نوبنیاد              322
13762            شهید بروجردی              208
13909                  زهتابی              136
14063               کریم‌آباد              314
14246               امین حضور               38
14913            شهرک استقلال              179
15605                   شهادت              172
15742           شهرک فرهنگیان              193
16078                     فتح              232
16428              حصار بوعلی               92
16437               سرخه حصار              145
17023              ابن بابویه               13
17165                مرادآباد              256
17796           امامزاده قاسم               33
20275         حسن‌آباد باقرفر               89
20699                  پامنار              300
21208                   گلچین              327
22880              شهرک غزالی              191
23649                   جابری               72
28127               حمزه‌آباد               94
28249              شهید رجایی              210
28567                مسگرآباد              259
28587              شهرک آسمان              178
30437                  ایوانک               45
34458                 هزارسنگ              289
34987              شهید آوینی              206
35531                باغ آذری               47
36279                    شاهد              164
36778               شهرک دریا              183
42537   شهرک والفجر (منطقه ۶)              198
